recipe_name,ingredients,description,total_time,difficulty,meal_type
Chicken Adobo,"chicken, garlic, soy sauce, vinegar, bay leaves, peppercorns",Classic Filipino braised chicken in tangy soy-vinegar sauce,45,Easy,Lunch/Dinner
Sinigang na Baboy,"pork, tamarind, tomato, onion, string beans, eggplant, okra",Sour pork soup loaded with vegetables,60,Medium,Lunch/Dinner
Pancit Bihon,"noodles, chicken, carrots, cabbage, garlic, onion, soy sauce",Stir-fried rice noodles with vegetables and meat,30,Easy,Lunch/Dinner
Halo-Halo,"ice, ube, banana, jackfruit, leche flan, red beans, coconut",Popular Filipino mixed dessert with shaved ice,15,Easy,Dessert
Adobo Flakes,"chicken, soy sauce, vinegar, garlic",Crispy shredded chicken adobo,40,Easy,Any
Lechon Kawali,"pork belly, garlic, soy sauce, vinegar",Crispy deep-fried pork belly,90,Medium,Dinner
Lumpia Shanghai,"ground pork, carrots, onion, garlic, spring roll wrappers",Crispy Filipino spring rolls,45,Easy,Appetizer/Snack
Pork Sisig,"pork cheeks, liver, onion, chili, calamansi, mayonnaise",Sizzling chopped pork with onions and chili,50,Medium,Appetizer/Lunch
Kare-Kare,"oxtail, peanut butter, eggplant, string beans, banana blossom, bok choy",Rich peanut stew with vegetables,120,Hard,Lunch/Dinner
Chicken Tinola,"chicken, green papaya, ginger, garlic, chili leaves, fish sauce",Ginger chicken soup with green papaya,45,Easy,Lunch/Dinner
Arroz Caldo,"chicken, rice, ginger, garlic, onion, fish sauce",Comforting chicken rice porridge,40,Easy,Breakfast/Lunch
Beef Caldereta,"beef, tomato sauce, carrots, potato, bell pepper, liver spread",Hearty beef stew with vegetables,90,Medium,Dinner
Pinakbet,"eggplant, okra, bitter gourd, squash, string beans, pork, bagoong",Mixed vegetables with shrimp paste,35,Easy,Lunch/Dinner
Ginataang Gulay,"squash, string beans, coconut milk, garlic, onion, shrimp",Vegetables in creamy coconut sauce,30,Easy,Lunch/Dinner
Pork Barbecue,"pork, soy sauce, banana ketchup, garlic, calamansi",Sweet-savory grilled pork skewers,60,Medium,Any
Turon,"saba banana, jackfruit, lumpia wrapper, brown sugar",Fried banana and jackfruit spring rolls,20,Easy,Dessert/Snack
